year,course,number,hsc_mean,hsc_sd,hsc_max,hsc_p99,hsc_p90,hsc_p75,hsc_p50,hsc_p25,scaled_mean,scaled_sd,scaled_max,scaled_p99,scaled_p90,scaled_p75,scaled_p50,scaled_p25
2022,Aboriginal Studies,737,36.6,7.3,49.5,49.0,46.5,42.0,37.0,31.5,16.0,12.6,46.2,44.8,37.1,24.2,12.8,5.7
2022,Agriculture,1464,35.4,6.5,49.5,48.0,44.0,40.0,35.5,31.5,20.0,11.4,47.4,44.5,36.6,29.1,18.8,10.6
2022,Ancient History,6336,36.2,7.0,49.5,47.5,44.5,41.5,37.0,32.0,23.0,11.0,49.0,45.3,37.8,31.5,22.8,14.3
2022,Biology,18891,35.2,6.4,49.0,46.5,43.5,40.0,35.5,30.5,26.0,10.1,50.0,45.1,39.2,34.1,26.5,18.3
2022,Business Studies,17950,37.2,5.8,50.0,47.5,45.0,41.5,37.0,33.0,23.6,10.8,49.3,44.7,38.7,32.3,23.0,14.8
2022,Chemistry,9929,36.5,6.6,49.5,48.0,44.5,41.0,37.0,32.5,31.7,9.9,50.0,47.4,43.5,39.5,33.5,25.2
2022,Community & Family Studies,8964,37.6,4.7,49.5,47.5,43.5,41.0,38.0,34.5,18.5,10.5,44.0,41.5,34.1,26.1,17.1,10.0
2022,Dance,840,41.2,4.1,50.0,49.0,46.0,44.0,41.5,39.0,24.6,11.1,48.0,46.1,39.8,33.2,24.1,16.4
2022,Design & Technology,3622,39.1,4.9,49.5,48.0,45.5,42.5,39.5,36.0,22.7,10.5,48.1,45.2,37.4,30.4,22.2,14.7
2022,Drama,3231,40.6,4.7,50.0,49.0,46.5,44.0,41.0,37.0,24.0,11.1,50.0,47.0,39.5,32.5,23.5,15.2
2022,Earth & Environmental Science,2224,37.1,5.1,48.5,46.5,43.5,41.0,37.5,33.5,22.6,10.6,47.7,43.7,36.7,30.6,22.4,14.4
2022,Economics,5378,38.8,5.6,49.5,48.0,45.5,43.0,39.5,35.0,31.4,9.7,50.0,47.2,43.0,39.1,32.8,24.9
2022,Engineering Studies,2346,36.5,5.9,49.0,47.5,44.5,41.0,37.0,32.5,26.0,9.8,49.1,45.6,38.8,33.6,26.5,18.8
2022,English Studies Exam,1273,28.1,5.8,42.5,38.0,34.5,31.5,28.5,26.0,9.3,6.0,36.4,24.9,18.0,13.3,8.4,4.4
2022,English Standard,30643,35.1,4.5,48.5,44.0,40.5,38.5,35.5,32.0,20.1,8.3,48.4,39.6,31.3,25.8,19.7,14.1
2022,English Advanced,24661,41.0,3.8,49.5,47.5,45.5,43.5,41.5,39.0,32.1,8.3,50.0,46.5,42.2,38.5,33.1,26.8
2022,English EAL/D,1487,33.6,7.1,48.5,47.0,42.5,38.5,34.0,29.5,20.4,11.5,48.2,46.2,37.5,28.8,18.8,11.0
2022,English Extension 1,3427,42.2,4.8,50.0,49.0,47.0,46.0,43.0,39.0,36.2,6.7,50.0,47.7,44.0,41.0,37.0,32.2
2022,English Extension 2,1242,40.5,5.9,50.0,49.0,47.0,45.0,41.0,37.0,35.9,7.1,50.0,48.3,44.6,41.2,36.5,31.4
2022,Food Technology,3639,36.1,6.4,49.0,47.5,44.5,41.0,36.0,32.5,19.0,11.5,46.0,43.4,36.4,28.1,17.0,9.7
2022,Geography,4053,37.8,6.0,49.0,47.5,45.0,42.5,38.5,34.5,25.4,11.0,50.0,45.7,39.4,34.1,26.0,17.4
2022,Industrial Technology,5673,35.5,5.8,49.5,47.5,43.5,39.0,35.0,31.5,17.7,10.0,42.0,39.3,32.2,25.4,16.4,9.4
2022,Information Processes & Technology,1808,36.1,6.1,48.0,46.5,43.5,40.0,37.0,32.5,22.4,10.8,48.0,44.5,37.4,30.6,21.9,14.0
2022,Investigating Science,2695,35.9,5.9,48.0,46.0,43.0,40.0,36.5,32.5,19.4,10.7,45.4,41.4,34.1,27.9,19.0,10.4
2022,Legal Studies,10225,37.1,7.1,49.5,48.0,45.5,42.5,38.0,32.5,24.9,11.0,50.0,45.3,39.5,33.7,25.4,16.2
2022,Mathematics Standard 1 Exam,1410,36.2,5.8,49.5,47.0,43.0,40.0,36.5,33.0,13.0,8.7,34.4,33.0,26.1,19.0,11.3,5.9
2022,Mathematics Standard 2,29874,35.6,6.4,50.0,48.0,44.0,40.5,35.5,31.0,22.1,10.3,46.0,42.5,36.3,30.3,21.6,13.7
2022,Mathematics Advanced,16865,39.3,6.0,50.0,49.0,47.0,44.5,39.5,35.0,31.7,9.5,50.0,47.8,43.7,39.1,32.5,25.0
2022,Mathematics Extension 1,8679,39.0,8.1,49.5,48.5,47.0,46.0,41.0,34.0,40.0,7.7,50.0,49.2,47.5,45.6,42.1,36.7
2022,Mathematics Extension 2,3271,40.9,7.3,50.0,49.0,47.5,46.0,43.0,38.0,44.2,5.1,50.0,49.5,48.5,47.4,45.6,42.7
2022,Modern History,10153,37.0,6.1,49.5,47.5,44.5,41.5,37.5,33.5,25.4,10.9,50.0,46.1,39.5,33.7,26.2,17.6
2022,History Extension,1532,39.9,6.0,49.0,48.0,47.0,45.0,41.0,37.0,33.6,7.3,50.0,47.4,42.8,38.8,34.0,29.2
2022,Music 1,4263,41.2,4.7,50.0,48.5,46.5,44.5,42.0,38.5,21.4,10.6,46.7,43.3,36.0,29.4,21.0,13.0
2022,Music 2,684,43.4,3.1,50.0,49.0,47.5,45.5,43.5,41.5,34.2,8.2,50.0,48.5,44.1,40.2,35.3,28.9
2022,Music Extension,353,46.1,4.1,50.0,50.0,50.0,49.0,47.0,45.0,36.6,9.2,50.0,50.0,50.0,44.1,37.1,30.7
2022,PDH&PE,15883,35.1,6.1,49.5,46.5,43.5,40.0,35.0,30.5,22.8,10.4,48.1,43.8,37.3,31.0,22.3,14.6
2022,Physics,7633,37.4,6.8,50.0,48.0,45.5,42.5,38.0,33.0,30.9,10.4,50.0,46.8,43.4,39.3,32.5,23.6
2022,Science Extension,658,37.9,4.8,50.0,48.0,44.0,41.0,38.0,35.0,33.8,7.2,50.0,48.1,42.5,38.9,34.4,30.1
2022,Society & Culture,4614,38.3,5.5,49.5,48.0,45.0,42.5,39.0,35.0,23.3,10.8,48.6,45.5,38.1,31.5,22.9,14.6
2022,Software Design & Development,1806,37.4,6.6,49.5,48.5,46.0,42.0,38.0,33.5,26.8,11.0,50.0,46.8,41.4,35.4,27.5,18.6
2022,Studies of Religion I,8433,38.4,4.8,50.0,48.0,45.0,42.0,39.0,35.0,27.3,9.2,48.9,45.1,39.5,34.2,27.6,20.6
2022,Studies of Religion II,6091,38.6,5.4,49.5,47.5,45.0,42.5,39.5,35.5,27.1,10.3,50.0,45.6,40.2,35.3,28.0,19.6
2022,Textiles & Design,1485,39.3,5.8,49.0,48.0,46.0,43.5,40.5,35.5,23.0,11.2,48.7,44.5,38.0,32.0,22.9,13.5
2022,Visual Arts,8177,40.9,4.1,49.5,48.0,45.5,44.0,41.5,38.5,22.1,11.1,49.0,45.5,37.7,30.7,21.3,13.2
2022,Arabic Continuers,294,40.7,4.5,49.0,48.0,45.5,44.0,41.0,38.0,16.6,11.1,43.3,41.9,32.9,25.2,14.0,7.1
2022,Arabic Extension,70,40.5,4.5,48.0,48.0,46.0,44.0,41.0,38.0,24.4,6.4,39.2,39.2,32.5,28.6,25.0,19.9
2022,Chinese Beginners,59,39.5,7.4,49.5,49.5,47.0,45.0,41.5,35.5,23.0,10.8,44.5,44.5,35.7,31.4,24.6,14.0
2022,Chinese Continuers,207,42.7,4.4,49.0,48.5,47.5,46.0,43.5,40.0,34.0,8.7,50.0,48.3,45.4,40.6,35.0,28.6
2022,Chinese Extension,61,44.6,2.8,50.0,50.0,48.0,46.0,45.0,43.0,38.4,5.8,50.0,50.0,45.3,41.7,39.0,34.5
2022,Chinese & Literature,330,41.6,4.0,48.0,47.5,45.5,44.5,42.5,39.0,24.7,11.3,50.0,46.6,38.8,33.4,25.3,15.1
2022,Chinese in Context,152,43.9,5.5,49.0,49.0,47.5,47.0,45.5,42.5,30.6,10.3,50.0,46.9,41.7,38.8,32.0,24.4
